location_id,home_team,stadium_name,Stadium City,Stadium State,stadium_open,stadium_close,stadium_type,stadium_weather_station_code,stadium_weather_type,stadium_capacity,stadium_surface,LATITUDE,LONGITUDE,ELEVATION,timezone
1,,Alamo Dome,San Antonio, TX,,,indoor,78203,dome,72000,FieldTurf,29.4170352,-98.4802358,,-6
2,Raiders,Allegiant Stadium,Paradise, NV,2020,,indoor,,dome,65000,Grass,36.0909098,-115.1855324,,-8
3,,Alltel Stadium,Jacksonville, FL,,,,,,,,30.3239536,-81.6394415,,-5
4,,Alumni Stadium,Chestnut Hill, MA,,,outdoor,2467,cold,,Grass,,,,
5,,Anaheim Stadium,Anaheim, CA,1980,1994,outdoor,92806,warm,,,,,,
6,Chiefs,Arrowhead Stadium,Kansas City, MO,1972,,outdoor,64129,cold,76416,Grass,39.0692,-94.4871,264.9,-6
7,Cowboys,AT&T Stadium,Arlington, TX,2009,,retractable,76011,dome,80000,FieldTurf,32.7572,-97.0736,163.4,-6
8,,Atlanta-Fulton County Stadium,Atlanta, GA,1966,1991,outdoor,30312,warm,,,33.739,-84.389,,-5
9,,Balboa Stadium,San Diego, CA,,,outdoor,92101,warm,,Grass,32.720434,-117.1525827,,-8
10,Panthers,Bank of America Stadium,Charlotte, NC,1996,2016,outdoor,28202,moderate,73778,Grass,35.2236,-80.9552,221.9,-5
11,Bills,Bills Stadium,Orchard Park, NY,1973,,outdoor,14127,cold,73967,FieldTurf,42.889,-78.8901,178,-5
12,,Busch Memorial Stadium,St. Louis, MO,1966,1995,outdoor,63102,cold,,,38.56667,-90.36667,189,-6
13,,Candlestick Park,San Francisco, CA,1960,2013,outdoor,94124,moderate,,,37.6197,-122.3647,2.4,-8
14,Seahawks,CenturyLink Field,Seattle, WA,2002,,outdoor,98134,moderate,67000,FieldTurf,47.6523,-122.4095,93,-8
15,,Cinergy Field,Cincinnati, OH,1970,1999,outdoor,45202,cold,,,39.1,-84.51667,193.9,-5
16,,Cleveland Municipal Stadium,Cleveland, OH,1931,1995,outdoor,44114,cold,,,41.4057,-81.852,238,-5
17,,Cotton Bowl,Dallas, TX,,,outdoor,75210,moderate,,Turf,,,,
18,,Cowboys Stadium,Arlington, TX,2009,,retractable,76011,dome,80000,FieldTurf,32.7572,-97.0736,163.4,-6
19,,Dolphin Stadium,Miami, FL,,,,,,,,,,,
20,,Edward Jones Dome,St. Louis, MO,1995,,indoor,63101,dome,,,38.6328232,-90.1906955,,-6
21,Broncos,Empower Field at Mile High,Denver, CO,2001,,outdoor,80204,cold,76125,Grass,39.7633,-104.8694,1611.2,-7
22,,Estadio Azteca,Mexico City, Mexico,1966,,outdoor,,warm,,,19.3028607,-99.1527164,,-6
23,Jaguars,EverBank Field,Jacksonville, FL,1995,,outdoor,32202,warm,67264,Grass,30.23333,-81.66667,6.1,-5
24,Washington,FedExField,Landover, MD,1997,2016,outdoor,20785,moderate,79000,Grass,38.9133,-76.97,15.2,-5
25,Browns,FirstEnergy Stadium,Cleveland, OH,1999,,outdoor,44114,cold,68000,Grass,41.4057,-81.852,238,-5
26,Lions,Ford Field,Detroit, MI,2002,,indoor,48226,dome,65000,FieldTurf,42.3400064,-83.0477917,,-5
27,,Foxboro Stadium,Foxborough, MA,1971,2001,outdoor,2035,cold,,,42.0479,-71.005,24.4,-5
28,,Franklin Field,Philadelphia, PA,,,outdoor,19104,cold,,Turf,39.9502159,-75.1922979,,-5
29,,Georgia Dome,Atlanta, GA,1992,,indoor,30313,dome,71250,FieldTurf,33.7576897,-84.4030172,,-5
30,,Giants Stadium,East Rutherford, NJ,1976,2009,outdoor,7073,cold,,,40.6825,-74.1694,2.1,-5
31,Patriots,Gillette Stadium,Foxborough, MA,2002,,outdoor,2035,cold,68756,FieldTurf,42.0479,-71.005,24.4,-5
32,Dolphins,Hard Rock Stadium,Miami Gardens, FL,1987,,outdoor,33056,warm,65326,Grass,25.7905,-80.3163,8.8,-5
33,,Harvard Stadium,Boston, MA,1970,1970,outdoor,2134,cold,70000,Grass,,,,
34,Steelers,Heinz Field,Pittsburgh, PA,2001,,outdoor,15212,cold,65500,Grass,40.4846,-80.2144,366.7,-5
35,,Houlihan's Stadium,Tampa, FL,1969,1997,outdoor,33607,warm,,,27.96194,-82.5403,5.8,-5
36,,Houston Astrodome,Houston, TX,1968,1996,indoor,77054,dome,,,29.6885249,-95.4296287,,-6
37,,Hubert H. Humphrey Metrodome,Minneapolis, MN,1982,2009,indoor,55415,dome,,,44.9736461,-93.2596832,,-6
38,,Husky Stadium,Seattle, WA,2000,2001,outdoor,98195,moderate,,,47.6523,-122.4095,93,-8
